Age,Ht,TailLn,HairLn,BangLn,Reach,EarLobes,Class
16.4,125.4,11.1,5.4,5.2,130.7,1,
18.0,139.2,11.1,12.5,5.5,139.3,1,
19.4,131.4,12.4,4.4,4.8,138.7,0,
19.7,139.4,15.9,7.8,4.3,144.7,1,
19.7,141.4,9.4,10.0,5.6,143.5,1,
20.0,134.8,9.1,8.3,6.5,140.4,1,
20.4,120.2,10.2,11.7,5.7,123.1,0,
20.6,116.6,13.0,8.9,5.4,120.8,1,
20.8,124.1,5.1,9.9,6.2,123.8,1,
22.3,143.6,7.7,6.3,6.4,145.8,1,
22.4,132.8,11.4,13.6,6.4,137.8,1,
22.8,138.2,10.2,12.3,7.0,138.2,0,
23.3,140.3,1.0,9.6,5.8,140.7,1,
24.1,145.4,21.6,8.2,5.4,151.2,1,
24.2,135.4,11.5,10.3,4.4,140.5,1,
24.2,152.8,19.2,9.4,4.4,158.8,1,
24.2,153.4,13.5,10.2,3.8,156.4,1,
24.3,127.9,6.9,10.6,5.4,129.9,0,
24.5,136.5,19.8,9.1,4.4,143.2,0,
24.9,129.5,7.4,12.7,6.5,133.5,1,
24.9,132.6,8.9,6.5,5.3,135.6,0,
25.0,156.4,12.6,7.9,5.9,159.9,1,
25.5,127.3,8.6,8.0,6.4,129.6,1,
25.9,141.9,6.9,8.9,6.6,146.9,1,
26.2,128.9,4.3,7.8,4.0,133.4,0,
26.8,130.9,11.9,5.8,4.0,137.9,1,
26.8,132.0,3.1,8.4,6.6,134.5,0,
26.9,151.2,11.9,11.5,5.9,154.1,1,
27.0,137.2,9.4,10.8,6.4,138.6,0,
27.8,134.6,4.2,11.3,5.2,138.0,0,
27.9,154.2,4.3,9.6,6.2,157.8,1,
28.1,130.1,6.4,11.7,5.8,132.3,1,
28.3,139.1,23.7,7.3,5.2,143.0,1,
28.4,127.5,2.1,10.3,4.9,129.5,1,
28.7,133.5,4.2,5.4,5.1,133.5,1,
28.9,123.8,10.3,12.0,7.4,126.2,0,
29.4,143.5,13.2,8.8,5.6,145.8,1,
29.6,130.3,4.4,6.4,7.0,131.9,0,
29.6,131.4,8.1,10.0,6.9,136.3,1,
29.7,132.5,12.1,7.5,4.4,136.9,1,
29.9,126.2,4.5,8.7,5.9,126.1,0,
30.1,142.6,20.4,10.6,5.9,147.9,0,
30.8,127.5,12.7,12.1,4.7,132.7,1,
31.0,137.2,19.7,8.5,3.1,144.2,0,
31.5,138.7,12.0,7.9,3.9,145.2,0,
31.6,129.5,0.0,5.7,7.2,133.2,0,
31.7,114.6,12.8,7.8,5.0,121.1,1,
31.8,139.5,3.5,12.6,3.8,140.9,1,
31.8,144.2,12.3,8.2,5.1,147.6,1,
31.9,133.7,10.4,10.6,5.3,135.6,1,
32.1,129.7,11.8,8.5,5.1,130.7,0,
32.1,130.5,2.5,8.6,5.4,135.8,1,
32.1,146.9,12.1,7.1,5.1,153.1,0,
32.2,135.8,19.9,9.5,5.6,144.6,1,
32.2,164.3,17.0,7.1,4.4,170.5,0,
32.3,143.0,3.0,9.2,4.9,144.5,1,
32.4,125.7,13.2,10.2,5.3,133.3,0,
32.5,152.6,11.3,8.3,6.0,157.4,0,
32.8,144.5,19.6,7.8,5.1,152.9,1,
33.1,136.1,5.0,10.9,5.9,138.8,0,
33.2,133.2,3.8,10.9,6.2,136.2,0,
33.3,147.6,18.0,12.4,6.8,146.5,0,
33.3,150.1,18.1,7.6,6.8,151.8,1,
33.4,140.1,6.9,10.1,6.1,144.6,1,
33.4,163.5,10.3,11.0,6.1,162.6,1,
33.6,137.5,10.8,10.6,4.3,142.5,0,
33.8,141.6,14.0,9.2,5.2,141.6,1,
33.9,131.0,3.7,12.2,5.4,137.4,0,
33.9,168.1,17.7,8.5,5.5,176.5,1,
34.2,146.6,2.2,14.2,6.5,151.8,1,
34.3,133.8,12.2,10.7,7.2,139.3,1,
34.3,139.8,28.4,7.2,4.2,144.1,1,
34.3,141.4,12.1,7.3,4.6,149.3,0,
34.3,152.4,13.8,14.2,6.4,157.4,1,
34.5,136.1,9.4,10.1,5.3,138.1,0,
34.6,136.3,7.0,9.5,6.2,135.9,0,
34.7,127.0,0.2,8.7,6.1,128.3,1,
35.0,132.0,13.7,7.8,3.9,137.2,0,
35.0,138.6,14.6,8.7,5.0,139.0,1,
35.0,139.3,23.9,10.4,6.9,146.8,1,
35.0,159.5,15.7,4.9,5.7,164.7,0,
35.1,147.0,9.2,11.7,5.1,149.9,1,
35.1,153.9,19.7,9.5,5.9,156.0,0,
35.4,138.8,16.1,10.4,6.1,144.6,1,
35.4,154.5,17.1,9.8,5.7,160.1,1,
35.5,158.9,18.1,9.1,5.7,164.8,1,
35.6,135.7,19.9,8.4,6.3,139.1,0,
35.7,140.9,7.6,10.6,4.9,143.7,1,
35.7,146.6,11.2,6.7,5.2,150.6,1,
35.8,132.7,7.9,6.4,6.4,133.0,0,
35.8,142.2,5.7,8.8,6.3,147.3,1,
35.8,151.9,11.2,10.5,7.3,153.6,0,
36.0,135.2,10.3,13.0,6.3,137.7,1,
36.0,159.5,12.8,8.2,5.6,165.6,0,
36.1,132.6,10.8,10.5,5.2,134.9,0,
36.2,148.4,9.9,11.7,7.7,148.0,1,
36.3,128.9,7.4,10.7,5.6,131.4,1,
36.5,143.0,11.8,10.1,4.1,146.9,1,
36.6,132.7,13.4,9.1,4.9,135.8,1,
36.6,135.1,6.9,12.1,5.2,140.2,0,
36.8,151.0,18.0,8.2,5.4,157.0,1,
